Available to,CRICOS:,Availability,Duration_Time,North_Sydney_International_Start_Date,University,Currency_Time,CRICOS,Description,Int_Fees,Course,Course_Lang,Melbourne_International_Start_Date,Currency,Website,Study_Mode,Full_Time,Part_Time,Brisbane_International_Start_Date,Available to:,Location,Career_path,Domestic_Course_Price,Location:,Duration,Local_Fees
Domestic and International students.,071241F,,Years,null,Australian Catholic University,Years,0101323,"Do you dream of being at the cutting edge of an ever-evolving industry? Our Bachelor of Information Technology is accredited by the Australian Computer Society (ACS) and has been designed for students with the ambition and drive to shape the way we work, socialise, communicate and entertain. Study with us and get a head start building the future. We know that practical experience is important for you, so it's important for us. Our work integrated learning programs prepare you for the future world of work and build your employability skills, foster an entrepreneurial mindset and hone your communication and project management skills. In the classroom, you'll explore critical areas in an interactive environment with IT experts. And you'll graduate prepared for a myriad of careers – such as applications developer, data scientist, software architect, game designer, programmer, software engineer, web specialist and more. When you choose our Bachelor of Information Technology, you'll be able to study business electives. And, as a result, you'll graduate with a better understanding of how you can help your organisation develop the solutions to meet their technological challenges. Tap into our network of local and global industry partners when you study information technology with us.",29080.00,Bachelor of Information Technology,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_information_technology,Campus availability,,,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ",Domestic and International students.,Brisbane  Melbourne  Strathfield,Applications developer Systems analyst Systems administrator Software architect Database administrator Information systems manager IT support technician Systems project manager Programmer Software engineer Web specialist and developer Data scientist Cybersecurity specialist Software developer Game designer Technical and network support professional,"Average first year fee:
    $9777 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


North Sydney  



",3.0,
Domestic and International students.,074604D,,Years,null,Australian Catholic University,Years,071241F,"This degree combines units that offer local and historical knowledge of specific geographic areas of the developing world, with units that explore transnational dimensions of development. This  combination of subject matter enables students to gain knowledge of the planning, implementation and consequences of political and economic change, particularly the uneven effects of development policies on communities. Students will also gain knowledge of the macro and micro sociological forces, including social movements that have impacted historically on political, economic, cultural and ecological conditions,  resulting in extreme poverty, poor health, fragile governance, inequality and environmental vulnerability. The degree grounds students in qualitative and quantitative research methods, providing them with the skills and knowledge to be able to determine appropriate strength-based capacity building approaches, and to identify economic inclusion strategies that promote economic opportunities for marginalised communities. The Bachelor of International Development Studies degree is located within the discipline area of ‘development studies’, which is an interdisciplinary branch of social science. The discipline area of development studies draws from a range of disciplines, particularly: anthropology, sociology, political science, human geography, environmental  science, history and economics. The main objective of the degree is to provide students with the knowledge, critical perspectives understanding and skills needed for competent, compassionate, ethical and professional engagement with communities in the developing world.  ACU BIDS graduates have a strong commitment to the common good and respect for the dignity of the human person. During the course students will gain hands-on experience in an international humanitarian or development program through the compulsory Immersion Experience unit. In addition to development theory and practice, students will study:",24104.00,Bachelor of International Development Studies,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_international_development_studies,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Blacktown  North Sydney,"Human rights advocacy; social entrepreneurship; fair trade business; eco and responsible tourism; charity and humanitarian work; private aid distributor; working with NGO, government service, or international systems such as United Nations and World Bank.","Average first year fee:
    $8712 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",3.0,
Domestic and International students.,079438F,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,074604D,"Take a global, practical and ethical approach to your studies with our Bachelor of Laws. You’ll be signing up to make an impact in your legal career by placing an emphasis on justice, equity and the dignity of all human beings. Graduate with a degree that has been designed to incorporate international law and the globalised nature of the legal profession. Not only will you study compulsory international law units within your law degree, you’ll also can study units overseas, either at our Rome Campus or at one of our partner institutions located all around the globe. All of our law students undertake pro bono placements in law firms or with leading barristers, community legal centres, NGOs, government departments, or social justice agencies. Combine our Bachelor of Laws with another degree and you’ll double your value to employers and open up your career options. With us, you’ll have the opportunity to study law alongside the following courses: Bachelor of Arts, Bachelor of Biomedical Science, Bachelor of Business Administration, Bachelor of Commerce, Bachelor of Global Studies, Bachelor of Philosophy, Bachelor of Psychological Science and Bachelor of Theology.",30600.00,Bachelor of Laws,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_laws,Campus availability,,,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ",Domestic and International students.,Melbourne,"private legal practice as a solicitor or barrister; legal officer in the public sector (for example in federal or state government departments and publicly-funded organisations as diverse as national regulatory bodies, universities and public broadcasters); in-house counsel to a wide-range of organisations from corporations to trade unions; public interest and legal work in community legal centres; legal research; and a variety of jobs in which legal knowledge is either required or desirable.","Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,079434K,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079438F,"The Bachelor of Laws (Graduate Entry) is a three-year degree designed for experienced students who have completed a previous Bachelor level degree. You can pursue a range of legal careers including: Typically, you develop specialisations in different fields of law throughout your career – from criminal law to family law; from environmental law to corporation law, from international trade to entertainment law. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good.",30600.00,Bachelor of Laws (Graduate Entry),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_laws_graduate_entry,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Blacktown  Brisbane  Melbourne  North Sydney,"private legal practice as a solicitor or barrister; legal officer in the public sector (for example in federal or state government departments and publicly-funded organisations as diverse as national regulatory bodies, universities and public broadcasters); in-house counsel to a wide range of organisations from corporations to trade unions; public interest and legal work in community legal centres; legal research; and a variety of jobs in which legal knowledge is either required or desirable.","Average first year fee:
    $11152 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079434K,"The Bachelor of Midwifery is for those who want to become registered midwives and work in maternity settings such as hospitals, birth centres and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will do over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include: A graduate entry program is available to registered nurses and paramedics.",30600.00,Bachelor of Midwifery,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic students only.,Brisbane  Melbourne  North Sydney,"Graduates can pursue a range of careers including: midwife, consultant midwife, special care nurseries, clinical specialist, pre-natal educator, researcher, family care and child health centre professional.","Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  



",3.0,
Domestic students only.,,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079434K,"This course offers bachelor–qualified nurses and paramedics the opportunity to qualify with a Bachelor of Midwifery. Applicants to the course must be registered nurses or currently practicing paramedics. Graduates may work in maternity settings such as hospitals, birth centres, special care nurseries and other community agencies. This midwifery course will teach you how to: Bachelor of Midwifery students will undertake over 1000 hours of midwifery clinical practice throughout the course in hospital and community settings. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. Possible career paths include:",30600.00,Bachelor of Midwifery (Graduate Entry),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_graduate_entry,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic students only.,Brisbane  Melbourne,"Graduates can pursue a range of careers including: midwife, consultant midwife, special care nurseries, clinical specialist, pre-natal educator, researcher, family care and child health centre professional.","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  



",3.0,
Domestic students only.,,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079434K,"This midwifery course is for Aboriginal and Torres Strait Islander women who want to become registered midwives. As with the Bachelor of Midwifery, this course prepares Aboriginal and Torres Strait Islander students to work as entry-level midwives in any maternity setting – focusing on Aboriginal and Torres Strait Islander women and their families. Students will enrol in this midwifery course in an ‘away-from-base’ capacity. The ‘away-from-base’ mode enables students to live and work in their local community while studying and attending four residentials of one week each in Brisbane throughout the year. The students will also engage with a minimum of ten women to follow their pregnancy, labour, birth and postnatal care journey called their Continuity of Care Experiences (CCE). This experience involves the student recruiting the woman in early pregnancy and attending appointments throughout. If possible, the student attends the labour and birth and follows the woman after discharge home up to six weeks following birth. The Bachelor of Midwifery (Indigenous) degree will teach you how to:",30600.00,Bachelor of Midwifery (Indigenous),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_midwifery_indigenous_program,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic students only.,Brisbane,"Graduates can pursue a range of careers including: midwife, consultant midwife, special care nurseries, clinical specialist, pre-natal educator, researcher, family care and child health centre professional.","Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  



",3.0,
Domestic students only.,001293G,,Years,21-Feb-2022,Australian Catholic University,Years,079434K,"ACU is the largest provider of nurses in Australia. Our close links with hospitals and health care partners guarantee clinical experience in diverse settings. The Bachelor of Nursing develops caring professional nurses who are proactive and adaptable, competent and ethical clinicians, and creative and critical thinkers. Across the course theory will be consistently embedded in clinical practice through the inclusion of one Integrating Practice unit every semester. Clinical placement areas include aged care, community nursing, high dependency nursing, medical/surgical nursing, mental health, paediatrics, palliative care, and perioperative nursing. You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Pending meeting local registration requirements, Bachelor of Nursing graduates can pursue a range of careers as a Registered Nurse within the health care industry including:",29520.00,Bachelor of Nursing,English,21-Feb-2022,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_nursing,Campus availability,,,21-Feb-2022,Domestic and International students.,Brisbane,"As a registered nurse graduates can pursue a career in a range of settings including medical/surgical nursing, paediatric nursing, aged care nursing, community care nursing, mental health nursing, and clinical education.","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Ballarat  


Blacktown  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,086187F,,Years,20-Feb-2023,Australian Catholic University,Years,001293G,"More nurses graduate from ACU than anywhere else in Australia – and for good reason. Our nursing courses are known for developing professionals who are caring, adaptable, safe and ethical. The Bachelor of Nursing (Enrolled Nurses) is structured to allow Diploma-qualified enrolled nurses to qualify with a Bachelor degree. The program uses learner-centred approaches including inquiry and situation-based learning to enhance students’ experiences as well as their readiness for the workplace. Throughout the course you will connect theory to practice and may have the opportunity to undertake a clinical nursing specialty in your final semester. Specialties linked with industry in areas of workforce include: You may also take up the opportunity to engage with communities overseas and gain unique educational and cultural experiences working in care facilities in developing countries. Bachelor of Nursing graduates can pursue a range of careers within the health care industry including:",29520.00,Bachelor of Nursing (Enrolled Nurses),English,"21-Feb-2022, 20-Feb-2023",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_nursing_enrolled_nurses,Campus availability,,,20-Feb-2023,Domestic and International students.,Ballarat  Blacktown  Brisbane  Canberra  Melbourne  North Sydney,"As a registered nurse graduates can pursue a career in a range of settings including medical/surgical nursing, paediatric nursing, aged care nursing, community care nursing, mental health nursing and clinical education.","Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,094690B,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,086187F,"Nutritionists promote healthy eating and lifestyles to individuals, communities and populations. Nutritionists create opportunities for people to learn about food and nutrition, design food products to support a healthy diet, influence food systems to foster sustainability, and advocate for a safe and equitable food supply across the globe. Studies in nutrition therefore include the science behind food and nutrition – biology and human physiology and chemistry and biochemistry, food and culinary nutrition science and the role of food and nutrition in health promotion and disease prevention. Nutrition links very closely with the national and global health priorities related to overnutrition and risk of obesity, diabetes and cardiovascular disease, much of which is preventable through a healthy lifestyle. ACU's program focuses on nutrition for general health, with understanding of the role of food and nutrition in chronic disease management, Aboriginal and Torres Strait Islander nutrition related health and community and public health priorities. ACU is the only university in Australia to offer students the opportunity to focus their study on culinary nutrition, an emerging area for work in the food and nutrition industry. The degree will appeal to anyone interested in a career as a nutritionists in public health and policy, in culinary nutrition science, in food and nutrition education and communication, in food science and technology, and in the research and food product development sectors. Work placement units provide students with eposure to work settings where they may gain employment following graduation and international short term study offers students the chance to enrich their university learning experience. The program also provides the basis for postgraduate studies in dietetics. Dietitians treat disease through diet and therefore require additional studies and clinical practice in health settings.",24336.00,Bachelor of Nutrition Science,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_nutrition_science,Campus availability,,,"22-Feb-2021, 21-Feb-2022 ",Domestic and International students.,Ballarat  Brisbane  Canberra  Melbourne  North Sydney,Culinary nutritionist Community and public health nutritionists Food and nutrition researchers Food and nutrition educators / communicators Food and health policy influencers / makers Food science and technology professionals Food research and produce development professionals National and international health agencies State and federal government health departments Food service and Food science and technology industry,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,078172B,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,094690B,"Occupational therapists play an important role in the lives of individuals and communities enabling participation in occupations of self-care, productivity and leisure. To do this, occupational therapists need to know how humans function, and need the skills to practice competently and safely. You will learn how to analyse and assess occupational performance; apply and evaluate interventions to enable occupational performance; and collaborate and communicate effectively with clients and their families and colleagues. You will undertake 1,000 hours of professional practice education, starting in the first year, working with people across the life-span to help them overcome physical, cognitive or societal barriers to participation. This meets entry-level competency standards for the World Federation of Occupational Therapists (WFOT). High achieving Bachelor of Occupational Therapy students can undertake honours in the third and fourth years, provided they meet admission requirements.",39472.00,Bachelor of Occupational Therapy,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_occupational_therapy,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Blacktown  Melbourne  North Sydney,"Graduates will be eligible to work in hospitals, community health centres, rehabilitation centres or private practice, mental health centres, work and accident rehabilitation, schools or early intervention centres for children, nursing homes and aged care facilities, government policy units or in consultative services.","Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,078172B,"It’s an exciting time for paramedicine. As one of the fastest evolving health professions, ACU aims to be at the forefront of change and creating paramedics for the future. By developing professional paramedics who are emotionally intelligent and motivated to improve communities we provide the foundations for you to deliver compassionate primary, urgent and or emergency health care in challenging and dynamic environments. Through authentic learning and diverse clinical experiences, you will develop key attributes for paramedicine, including: Graduates will be eligible to become a registered paramedic under the Australian Health Practitioner Regulation Agency (AHPRA), and with further study and experience, they can progress towards being a: The knowledge and skills developed are applicable for the national and international workforce. For those meeting a high-standard within the Bachelor of Paramedicine, you will be eligible to apply for Honours program upon completion.",39472.00,Bachelor of Paramedicine,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_paramedicine,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic students only.,Brisbane  Melbourne  North Sydney,"Graduates can pursue a range of local, national and international paramedicine career opportunities. These could include working in areas such as primary care, aged care, community care, digital health care, and the emergency setting.","Average first year fee:
    $8810 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic students only.,088340G,,Years,null,Australian Catholic University,Years,078172B,"The Bachelor of Physical Activity and Health Science focuses on the roles and benefits of physical activity, exercise and healthy lifestyles. The degree provides a strong academic base in the foundations of health science, into exercise promotion, prescription and delivery, and for physical activity across the lifespan. It focuses on the practical skills required to become leaders in Outdoor Education, HPE Teaching, Coaching and Health Promotion professions. The skills are developed while studying the promotion, maintenance and enhancement of health, physical activity and sport related behaviours. They are further explored in the contexts of community health, personal well-being, leadership in outdoor education and sports performance. Students can choose from a range of electives in the specialised areas of physical education, leadership in outdoor education, sports coaching, and/or health and health promotion. Opportunities for industry-relevant practicum experience are embedded in the degree. The course aims to produce graduates with a strong academic base in health science disciplines related to physical activity and exercise, with the capacity to apply knowledge and skills in an ethical, fair and respectful manner. From year one, students are introduced to physical activity and exercise engagement, health promotion, and are given a foundation in health science as it relates to human function and performance. This includes fundamental concepts in anatomy, physiology, and human growth and development. Students also commence elective studies in areas of academic or vocational interest.",24336.00,Bachelor of Physical Activity and Health Science,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_physical_activity_and_health_science,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,"Government and non-government health, sport and recreation departments High performance sport organisations Sports institutes and academies Corporate fitness Commercial and educational outdoor leader Adventure therapy Outdoor tourism leadership Camp director/manager/programmer Exercise scientist Sports scientist Health and fitness consultant Strength and conditioning coach Sports coach Rehabilitation coach Performance analyst Fitness advisor Sports science manager Physical activity officer Allied health assistant","Average first year fee:
    $8810 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Strathfield  



",3.0,
Domestic and International students.,071515G,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,088340G,"The Bachelor of Physiotherapy is for those who want to prevent injury and disability in others as well as rehabilitate those already injured.You will learn how to identify, assess and treat conditions: As a graduate, you will have developed skills to work with everyone from children to the elderly, as well as deal with gender-specific issues. Our physiotherapy graduates have pursued careers in: Graduates can also work as consultants in educational, government and industrial institutions, and/or conduct research that contributes to the knowledge base of the profession. This physiotherapy course also offers students clinical placements during which they will be supervised by a clinical educator. During each placement students will develop and integrate knowledge, skills and professional behaviours in accordance with the requirements of the Australian Physiotherapy Council. High achieving Bachelor of Physiotherapy students can undertake honours in the third and fourth years, provided they meet admission requirements.",39472.00,Bachelor of Physiotherapy,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_physiotherapy,Campus availability,,,"22-Feb-2021, 21-Feb-2022 ",Domestic and International students.,Strathfield,"Graduates may work in a variety of areas including rehabilitation, paediatrics, women’s health, sports physiotherapy, cardiorespiratory, orthopaedics, gerontology and ergonomics, hospitals and rehabilitation units, community health centres and/or private practice.","Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Ballarat  


Brisbane  


North Sydney  



",3.0,
Domestic and International students.,078173A,,Years,null,Australian Catholic University,Years,071515G,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. Graduates of the Bachelor of Psychological Science will complete a sequence in psychology that is accredited by the Australian Psychology Accreditation Council (APAC). This sequence will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: This learning helps to prepare all students for optional further postgraduate study which may lead to registration as a professional psychologist. Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations.",24336.00,Bachelor of Psychological Science,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_science,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Ballarat  Brisbane  North Sydney,Counselling Child welfare and development Community work Education Health Human resources Marketing and Market research Fourth year study in psychology to pursue a career in psychology,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,084790C,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,078173A,"The four-year Bachelor of Social Work degree is an entry qualification into the social work profession and has been determined to meet the Australian Social Work Education and Accreditation Standards (ASWEAS). ACU’s program is an Australian Association of Social Workers (AASW)-accredited qualification and includes the completion of 1000 hours of supervised field education and training, The ACU Bachelor of Social Work will produce graduates who:",24336.00,Bachelor of Social Work,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_social_work,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Melbourne  Strathfield,Family work Youth and child welfare services Medical and health services Disability services Psychiatric and general mental health Community services Aged care Income support Mediation Research,"Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Canberra  


Strathfield  



",3.0,
Domestic and International students.,078174M,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,084790C,"Speech pathologists recognise the importance of communication and swallowing as activities that enable people to participate fully in their daily lives. They work with individuals, groups, families, and communities to support the development, rehabilitation and maintenance of effective communication and swallowing skills across the lifespan. Our speech pathology program will prepare you to assess and diagnose difficulties with speech, language, voice, fluency, multi-modal communication and swallowing, and enable you to provide intervention and support that is person-centred, culturally-sensitive and evidence-based. You’ll recognise the dignity of the human person and your responsibility towards the common good, and have opportunities to put your values, knowledge and skills into action with professional practice and community engagement activities in Australia and overseas.",39472.00,Bachelor of Speech Pathology,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_speech_pathology,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Canberra  Strathfield,early intervention services for children schools hospitals rehabilitation centres mental health services community health services aged care services private practice research,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",3.0,
Domestic and International students.,029061D,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,078174M,"Framed by the Catholic intellectual tradition, this course introduces students to the richness and breadth of theological scholarship. Students can pursue an in-depth program of study in biblical studies, systematic theology, ministry, liturgy, ancient languages and philosophy. Students can also undertake units in other disciplines, such as in the liberal arts. Through the community engagement component of this degree, students are offered the opportunity to explore Christian theology in a range of contemporary settings, including Indigenous and international. Global experience is also encouraged as part of students’ learning, with study abroad opportunities available at the ACU Rome Centre, with one of our partner institutions in Europe or the United States, or in Israel with a study tour. Students develop a wide range of adaptable skills, including an enhanced capacity to analyse, critically reflect, evaluate, and to bring ethical perspectives to life and work. Students also develop their communication skills; the capacity to evaluate and discriminate between multiple viewpoints, and to develop and articulate compelling arguments (both orally and in writing).",23400.00,Bachelor of Theology,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_theology,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,"Graduates are prepared to succeed in a wide variety of professions such as chaplaincy, ministry, pastoral work and other church-related careers, teaching (with further study), youth and social work, research, journalism, or work with church-based and international development agencies.","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,040344M,,Years,null,Australian Catholic University,Years,029061D,"The Bachelor of Visual Arts and Design degree provides an exciting mix of: You will explore the relationships between two-dimensional media areas such as drawing, painting, printmaking and photography, and three and four-dimensional areas such as sculpture, video production and object design, as well as graphic design leading to webpage design and animation. Students can specialise in one of these areas in the third year of the course plus there are opportunities for an internship and acquisition of relevant business skills.",24104.00,Bachelor of Visual Arts & Design,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_visual_arts_and_design,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,"The type of careers this qualification leads to may include administrator, art conservation, art gallery manager, art theory research assistant, art therapist, community art, creative director, curatorships, events coordinator, professional artist, theatre and set designer, video film maker and editor, visual merchandiser.","Average first year fee:
    $7239 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,084316G,,Years,null,Australian Catholic University,Years,040344M,"Youth Work is an exciting and challenging career involving working for and with young people in a variety of fun and rewarding ways. The key thing that differentiates youth workers from other community service workers is that young people are their primary concern. Youth work acknowledges the social and cultural environments within which young people live and helps foster young people's emotional and social development. In addition to the specified youth work units, students study sociology and choose electives from the broad suite of offerings in the Bachelor of Arts. Students will receive valuable practical experience in working with young people, in addition to the theoretical insights and practical competencies needed for dealing with the needs, problems and aspirations of young people. Our graduates are employed in local government, welfare services, youth justice, educational institutions, substance abuse and homelessness agencies. The Bachelor of Youth Work responds to community need for highly trained and skilled youth workers to meet the needs of young people in a range of public and community-based settings. Students will qualify to: Students will receive valuable practical experience in working with young people in agencies, in addition to the theoretical insights and practical competencies needed for enabling creative roles in dealing with the needs, problems and aspirations of young people.",24104.00,Bachelor of Youth Work,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_youth_work,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne  Strathfield,"This is the basic degree qualification for youth work in Australia and prepares graduates for a range of positions in Youth Work and community work with young people. The course provides graduates with skills relevant to many different youth services and prepares them for careers in leadership positions in professional youth work and in youth services in Local Government, in education, in State and Federal Government and in the non-for-profits sectors.","Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",3.0,
Domestic and International students.,090703A,,Years,null,Australian Catholic University,Years,084316G,"The Bachelor of Applied Public Health (Honours) allows students to build upon the knowledge gained in their undergraduate degree, develop research skills that will equip them for future study at a higher degree level and work closely with an academic expert to contribute to a particular area of interest. Graduates of the Bachelor of Applied Public Health (Honours) will have:",24336.00,Bachelor of Applied Public Health (Honours),English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_health_honours,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne,public health officer community development worker epidemiologist policy analyst program evaluator health educator project officer and consumer advocate.,"Average first year fee:
    $8810 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",3.0,
