Study_Mode,Location,Duration:,Location:,Course,Description,Duration,Melbourne_International_Start_Date,Website,CRICOS,Domestic_Course,Available to:,North_Sydney_International_Start_Date,Brisbane_International_Start_Date,Available to,CRICOS:
Campus availability,Melbourne  North Sydney  Online,6 months full-time or 1 year part-time,"


Melbourne  



",Graduate Certificate in Global Health,"ACU’s Graduate Certificate in Global Health equips graduates with the advanced knowledge, understanding and skills in global health to advocate for and contribute to health and well-being of communities and populations throughout the world with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate advanced knowledge of global health, with special emphasis on advocacy, cultural responsiveness, humanitarianism and sustainable development. Graduates should also be able to use evidence to support, critique and implement global health actions, policies or interventions. Articulation from this course into the Master of Public Health is available.",6 months full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_global_health,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and International students.,
Campus availability,Melbourne,1 year part-time,"


North Sydney  

 Open Universities Australia

",Graduate Certificate in Health Administration,"The Graduate Certificate in Health Administration equips students with skills to examine organisational culture, management concepts, governance and quality improvement within the health care workplace. Students will explore concepts relating to change management and outcomes, leadership strategies and skills, along with ethical, moral and social justice dimensions within the health care sector. This course provides a foundation for students who wish to pursue a management or leadership role within their health care workplace.",6 months full-time or 1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_health_administration,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,North Sydney   Open Universities Australia,1 year part-time.,"

 Open Universities Australia

",Graduate Certificate in Health Administration,"The ACU Graduate Certificate in Health Professional Education  gives students a foundation for facilitating clinical learning, equipping you with the knowledge and skills to plan, implement, and evaluate clinical education programs within the health care workplace. Students will be supported in the learning of foundational theories, models and perspectives of learning and teaching with an emphasis on learning and practice development in workplaces. Students will explore the importance of constructive alignment in curriculum development, assessment strategies and evaluation of programs. The focus of this course will be to advance evidence-based learning and teaching activities and programs, coordinate collaboration among the health professions, and provide high quality learning experiences with the overall intention of enhancing safe and quality patient care. This course is designed for health care professionals seeking a pathway into health professional education. On successful completion of the Graduate Certificate in Health Professional Education, graduates should be able to:",1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_health_professional_education,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Open Universities Australia,6 months full-time or 1 year part-time,"

 Open Universities Australia

",Graduate Certificate in Health Administration,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a range of professions, including sport scientists, coaches and managers. The Graduate Certificate in High Performance Sport aims to help students develop the knowledge, understanding and skills needed to enhance the conditioning of high performance athletes, with the aim of optimising individual and team performance, within the context of a multidisciplinary environment and its culture and leadership structures, and to do so in an ethical manner characterised by a concern for respect, equity and social justice. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. In Australia, there are employment opportunities in professional and semi-professional sporting teams, Australian and state institutes of sport, academies of sport, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes.",1 year part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_high_performance_sport,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Open Universities Australia,1 year part-time,"

 Open Universities Australia

",Graduate Certificate in Health Administration,"The high performance sport industry is increasingly focused on developing employees and athletes with strong leadership skills and training in ethics and social responsibility. Proposed regulatory changes within the industry may make these skills a necessity. This course is designed to address these industry demands by developing specialist knowledge and skills for leadership and communication in high performance sport settings. The course addresses its curriculum underpinned by dignity, self-worth and respect for others as a nuance to professionalism that makes such professionals more effective and more highly valued leaders. The course targets experienced professionals in the High Performance Sport industry. Given these professionals are working, often in national and international contexts, the Graduate Certificate in High Performance Sport Leadership is designed to accommodate these commitments. Thus, the major design feature of the course is primarily online, with an intensive on-campus component incorporated to support this delivery and provide students with critical learning opportunities relevant to training in leadership and communication. Moreover, the intensive component will provide the added opportunity to network directly with industry specialists and other students in the course. The course is a pathway into ACU’s Master of High Performance Sport and Graduate Diploma in High Performance Sport.",6 months full-time or 1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_high_performance_sport_leadership,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Deferment ,Open Universities Australia,2 years part-time. Maximum duration: 4 years part-time.,,Graduate Certificate in Health Administration,"The Graduate Certificate in Higher Education supports the acquisition and development of knowledge, intellectual and practical skills needed to undertake academic teaching responsibilities in a scholarly way. The course comprises four units of study. These focus on theories, principles and concepts related to learning and teaching in higher education; curriculum and assessment design, and evaluation of higher education programs; development of knowledge and skill in the area of Technology Enhanced Learning (TEL); and, development of capability in the Scholarship of Learning and Teaching (SoLT). Graduates will develop their knowledge, intellectual and practical skills in ways that are informed by, and benefit from, the university's graduate attributes and the University's mission.",1 year part-time,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_higher_education,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Open Universities Australia,6 months full-time or equivalent part-time.,"


North Sydney  


Online  



",Graduate Certificate in Information Technology,The Graduate Certificate in Information Technology lays the foundation for a specialist qualification in the Master of Information Technology. The Graduate Certificate provides you with the introduction to important information technology principles. You will be ready to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The Graduate Certificate in Information Technology articulates into the Master of Information Technology. This is a six-month full-time (or part-time equivalent) course.,2 years part-time. Maximum duration: 4 years part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_information_technology,102425D,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic students only.,071003J
Campus availability,North Sydney  Online,6 months full-time or equivalent part-time.,"


Blacktown  


Brisbane  


Melbourne  


North Sydney  


Online  



",Graduate Certificate in Innovation and Entrepreneurship,"The Graduate Certificate in Innovation and Entrepreneurship in focuses on the mindset, methods, skills, and knowledge needed to commercialise creative ideas through developing and managing high growth ventures. In this course, students will learn creative, entrepreneurial, and ethical approaches to business that may pave their way for new careers in fields such as marketing, business management, venture analysis, and as an owner or operator of their own entrepreneurial business. This specialist certificate provides ongoing professional development for existing managers with an interest in innovation as well as operating as a pathway to an MBA program for those without a prior cognate undergraduate degree and as a specialisation for those who are enrolled in an MBA program. This is a six-month full-time (or part-time equivalent) course.",6 months full-time or equivalent part-time.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862",https://courses.acu.edu.au/postgraduate/graduate_certificate_in_innovation_and_entrepreneurship,071003J,"['\n', <strong>Average first year fee</strong>, ':\n    $14000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#2358763#2358773:  

22-Feb-2021

     (pos1#2358763",Domestic and International students.,102811E
Campus availability,Blacktown  Brisbane  Melbourne  North Sydney  Online,1 year part-time,"


Online  



",Graduate Certificate in Mental Health,"The Graduate Certificate in Mental Health is aimed at  allied health professionals who work with clients experiencing mental health issues, but who have no formal postgraduate mental health qualification. It aims to expand allied health clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and skills practice enabling application/translation recovery oriented socially inclusive and reflective practice in the clinical setting. Graduates of the program should be able to:",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mental_health,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic and International students.,
Campus availability,Online,1 year part-time,"


Online  



",Graduate Certificate in Mental Health Nursing,The Graduate Certificate in Mental Health Nursing aims to expand nursing clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mental_health_nursing,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Online,6 months full-time or equivalent part-time.,"


Ballarat  


Brisbane  


Canberra  


Melbourne  


North Sydney  


Strathfield  



",Graduate Certificate in Mission and Culture,"The Graduate Certificate in Mission and Catholic Culture is designed for professionals in Catholic institutions of higher education and faith-based organisations and agencies who wish to enhance their understanding of the specifically Christian and Catholic context in which they are leaders, and to develop skills in the promotion of a Christian and Catholic culture. In contemporary and emerging post-Christian contexts, Catholic and other Christian mission based organisations are placing a greater and more strategic emphasis on the capacity of their staff to grasp and articulate the mission of their organisations, and to do so intelligently and in meaningful ways. Through an alignment of individual and organisational mission, meaning and purpose, a person can develop ""mission literacy"". This has become a vital and effective way to facilitate the flourishing of both the individual within an organisation, and the organisation itself. There is a need to deliberately and consciously develop ""mission literacy"". Any person that has such a developed and conscious 'mission literacy', or is exposed to it, can function in ways that more effectively and efficiently promote human flourishing and dignity – including for themselves. Further, such 'literacy' can result in internal organisational cultures that support high productivity because they are characterised by concepts such as 'harmonious', and 'welcoming' places of belonging and support. The purpose of this course is to support and assist personnel within Catholic and other faith based organisations to acquire the factual and experiential knowledge through readings, reflections and discussions. This supports development in the conceptual and analytical capabilities required to reflect on and to realise personal and organizational mission alignment.",1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_mission_and_culture,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Ballarat  Brisbane  Canberra  Melbourne  North Sydney  Strathfield,6 months full-time or equivalent part-time,"

 Open Universities Australia

",Graduate Certificate in Mission and Culture,"The Graduate Certificate in Occupational Health, Safety and Environmental (OHSE) Management provides students with basic technical competencies in OHSE theory and practice. The course comprises four units that will prepare you for an entry-level position in OHSE. The Graduate Certificate in OHSEM is a pathway program to the Graduate Diploma in OHSEM and Master of OHSEM, both of which are accredited courses that provide students with the educational requirements to seek certification as an OHS Professional.The Graduate Certificate is available as an exit award from the Master of OHSEM. The course is offered online through Open Universities Australia.",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_ohse_mgmt,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Open Universities Australia,12 months part-time,"


Online  



",Graduate Certificate in Performance Analysis,"Performance analysis is a rapidly growing area of specialisation in the high performance sport industry, both nationally and internationally. The Graduate Certificate in Performance Analysis provides specialist knowledge and skills in performance analysis, by providing theoretical and applied foundations for practice in this industry. You will develop advanced knowledge and skills in data handling and analysis, and be exposed to technologies used in high performance sport settings. The learning outcomes encourage critical thinking, solving of complex problems, and communication of complex knowledge and ideas to other professionals working in the high performance sport industry. In Australia, there are employment opportunities in professional and semi-professional sporting teams, the National Institutes Network, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes.",6 months full-time or equivalent part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_performance_analysis,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9744 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Online,2 years part-time,"


Blacktown  



",Graduate Certificate in Philosophy (Healthcare Ethics),"The Graduate Certificate in Philosophy (Healthcare Ethics) will introduce students to a range of ethical issues touching directly on the provision of healthcare services. It is designed for people with leadership and educational roles in health and aged care. More specifically, the Graduate Certificate in Philosophy (Healthcare Ethics) will:",12 months part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_philosophy_healthcare_ethics,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Blacktown,6 months full-time or 1 year part-time,"


Melbourne  

 Open Universities Australia

",Graduate Certificate in Public Health,"ACU’s Graduate Certificate in Public Health equips graduates with knowledge, understanding and skills in public health to improve population health and well-being. The course prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate knowledge of major public health issues, approaches, principles and policy; analyse and utilise best available evidence to support public health action; and demonstrate skills needed to critique and implement particular types of public health interventions. In order to complete the Graduate Certificate in Public Health, students must successfully complete 40 credit points (cp) of specified public health units. Articulation from this course into the Graduate Diploma in Public Health or the Master of Public Health is available.",2 years part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_public_health,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $10136 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
With specialisations in:,Melbourne   Open Universities Australia,1 year part-time,"


Brisbane  


Melbourne  


North Sydney  

 Open Universities Australia

",Graduate Certificate in Rehabilitation,"Rehabilitation is a growing area of need not only in Australia but worldwide due to the ageing population and increasing prevalence of chronic disease. The demand for a workforce supporting older adults and those requiring rehabilitation and restorative care, is similarly expected to increase along with the need for health care professionals with postgraduate qualifications. ACU understands the importance of working with the health care industry and has developed this revised program in consultation with industry partners. The Graduate Certificate in Rehabilitation is the initial program nested within the Master of Rehabilitation. The Graduate Certificate has been purposefully developed to provide evidence-based studies for registered health professionals who are seeking to extend knowledge and skills in the provision of rehabilitation or restorative care, for promotion and professional recognition, or their return to the workforce. The Graduate Certificate in Rehabilitation prepares clinicians to be an enhanced evidence-based clinician within an interprofessional team.  The course has four units, two units focussing on enhancing rehabilitation knowledge and skills within an interprofessional team and two elective units enabling practitioners/clinicians to customise their learning to their relevant context and learning needs. Graduates should be able to:",6 months full-time or 1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_rehabilitation,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $12012 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Brisbane  Melbourne  North Sydney   Open Universities Australia,6 months full-time or equivalent part-time,"


Online  



",Graduate Certificate in Religious Education,"The Graduate Certificate in Religious Education is for qualified primary and secondary school teachers who want to teach religion. The course provides the basic certification, fundamental knowledge, skills and competencies needed to teach religious education. Prospective students should check with their employing authority to ensure they complete the required combination of units. Each diocese has slightly different requirements.",1 year part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_religious_education,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Online,6 months full-time or equivalent part-time.,"


Online  



",Graduate Certificate in Safeguarding Children and Young People,"The Graduate Certificate in Safeguarding Children and Young People is a four unit (40 credit points) AQF Level 8 course. It is a cross-disciplinary standalone course. The course is a proactive response to the present social and political challenges in safeguarding children and young people. It is designed to provide the opportunity for participants to develop knowledge and understandings of contemporary issues and responses to safeguarding children and young people, exploring the conditions and factors that facilitate or impede child-safe environments.",6 months full-time or equivalent part-time,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_safeguarding_children_and_young_people,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
